GO:0006886,intracellular protein transport
GO:0051169,nuclear transport
GO:0007034,vacuolar transport
GO:0016192,vesicle-mediated transport
GO:0030705,cytoskeleton dependent intracellular transport
GO:0055085,transmembrane transport
GO:0006839,mitochondrial transport
GO:0016482,cytosolic transport
GO:0016197,endosomal Transport
GO:0006810,Transport
GO:0000278,mitotic cell cycle
GO:0051321,meiotic cell cycle
GO:0007049,cell cycle
GO:0030030,cell projection organization
GO:0006997,nucleus organization
GO:0007009,plasma membrane organization
GO:0007029,endoplasmic reticulum organization
GO:0007030,Golgi organization
GO:0007032,endosome organization
GO:0007033,vacuole organization
GO:0007005,mitochondrion organization
GO:0007010,Cytoskeleton organization
GO:0043062,extracellular structure organization
GO:0034330,cell junction organization
GO:0042254,ribosome biogenesis
GO:0051276,chromatin organization
GO:0061024,membrane organization
GO:0016043,cellular component organization
GO:0044085,cellular component biogenesis
GO:0010498,proteasomal protein catabolic process
GO:0030163,protein catabolic process
GO:0006464,cellular protein modification process
GO:0061684,chaperone-mediated autophagy
GO:0051604,protein maturation
GO:0006412,translation
GO:0016042,lipid catabolic process
GO:0008610,lipid biosynthetic process
GO:0016052,carbohydrate catabolic process
GO:0034637,cellular carbohydrate biosynthetic process
GO:0006259,DNA metabolic process
GO:0016070,RNA metabolic process
GO:0016071,mRNA metabolic process
GO:0006139,nucleobase containing compound metabolic process
GO:0016236,Macroautophagy
GO:0061738,late endosomal microautophagy
GO:0006260,DNA replication
GO:0006351,"transcription, DNA-templated"
GO:0006520,cellular amino acid metabolic process
GO:0006091,generation of precursor metabolites and energy
GO:0051186,cofactor metabolic process
GO:0019538,protein metabolic process
GO:0006629,lipid metabolic process
GO:0005975,cabohydrate metabolic process
GO:0006807,nitrogen compound metabolic process
GO:0009056,catabolic process
GO:0009058,biosynthetic process
GO:0044238,primary metabolic process
GO:0044281,small molecule metabolic process
GO:0000902,Cell morphogenesis
GO:0006457,protein folding
GO:0033554,cellular response to stress
GO:0007059,chromosome segregation
GO:0007165,signal transduction
GO:0007267,cell-cell signaling
GO:0007569,cell aging
GO:0008219,cell death
GO:0008283,cell proliferation
GO:0048469,cell maturation
GO:0030154,cell differentiation
GO:0032196,Transposition
GO:0016049,cell growth
GO:0019725,cellular homeostasis
GO:0051301,cell division
