"","Entry","Group","Length","topMotifSum","canoSum","phosSum","KSum"
"1","A0A087WW87","canon",121,1,1,0,0
"2","A0A0B4J2F0","canon",54,1,1,0,0
"3","A0PJW6","canon",202,1,1,0,0
"4","A0PJX2","canon",215,1,1,0,0
"5","A1A4F0","canon",135,1,1,0,0
"6","A1A4V9","canon",331,1,1,0,0
"7","A1A4Y4","canon",181,1,1,0,0
"8","A1L157","canon",253,1,1,0,0
"9","A1L4H1","canon",1573,1,1,0,0
"10","A2A288","canon",527,2,2,0,0
"11","A2A3L6","canon",582,1,1,0,0
"12","A2RRD8","canon",509,1,1,0,0
"13","A3KFT3","canon",312,1,1,0,0
"14","A4D1E9","canon",387,1,1,0,0
"15","A4D1S5","canon",217,1,1,0,0
"16","A5PLN9","canon",417,1,1,0,0
"17","A6NCF5","canon",533,1,1,0,0
"18","A6NCF6","canon",341,1,1,0,0
"19","A6NCL7","canon",494,1,1,0,0
"20","A6NCW3","canon",169,1,1,0,0
"21","A6ND48","canon",311,1,1,0,0
"22","A6NDE4","canon",496,1,1,0,0
"23","A6NEK1","canon",342,1,1,0,0
"24","A6NEL3","canon",165,1,1,0,0
"25","A6NEM1","canon",432,9,9,0,0
"26","A6NEQ0","canon",496,1,1,0,0
"27","A6NEY3","canon",463,16,16,0,0
"28","A6NF36","canon",153,1,1,0,0
"29","A6NF89","canon",314,1,1,0,0
"30","A6NFA1","canon",517,1,1,0,0
"31","A6NGD5","canon",496,1,1,0,0
"32","A6NGS2","canon",130,1,1,0,0
"33","A6NGY3","canon",159,1,1,0,0
"34","A6NHS1","canon",94,1,1,0,0
"35","A6NI47","canon",508,1,1,0,0
"36","A6NI86","canon",522,13,13,0,0
"37","A6NIZ1","canon",184,1,1,0,0
"38","A6NJU9","canon",1138,1,1,0,0
"39","A6NJW4","canon",275,2,2,0,0
"40","A6NK06","canon",481,2,2,0,0
"41","A6NKD2","canon",308,1,1,0,0
"42","A6NLE4","canon",172,1,1,0,0
"43","A6NM45","canon",220,1,1,0,0
"44","A6NMZ2","canon",147,1,1,0,0
"45","A6NNC1","canon",897,2,2,0,0
"46","A6NNE9","canon",402,2,2,0,0
"47","A6NNL0","canon",878,4,4,0,0
"48","A6NNW6","canon",628,1,1,0,0
"49","A7MD48","canon",611,1,1,0,0
"50","A8MRT5","canon",1133,1,1,0,0
"51","A8MT66","canon",165,1,1,0,0
"52","A8MT69","canon",81,1,1,0,0
"53","A8MTB9","canon",384,1,1,0,0
"54","A8MTL0","canon",148,1,1,0,0
"55","A8MUP6","canon",293,1,1,0,0
"56","A8MW99","canon",385,1,1,0,0
"57","A8MWA4","canon",302,1,1,0,0
"58","A8MWP6","canon",167,1,1,0,0
"59","A8MXK1","canon",200,1,1,0,0
"60","A8MXK9","canon",166,1,1,0,0
"61","A8MXV4","canon",375,1,1,0,0
"62","B1AL46","canon",878,4,4,0,0
"63","B1APH4","canon",448,1,1,0,0
"64","B2RU33","canon",542,1,1,0,0
"65","B7U540","canon",433,1,1,0,0
