,group,n,FigS5_panel,GO,names,withMotif_in_GO,withMotif_not_in_GO,noMotif_in_GO,noMotif_not_in_GO,GO_term_size,percent_of_GO_with_motif,FT_pValue,FT_OR,permutation_mean,permutation_sd,zScore,combinedScore,motif_content
1,canonical,9271,A,GO:0007010,Cytoskeleton organization,778,8493,387,10507,1165,66.78111588,5.51E-49,2.486959135,533.3,17.57212244,13.92546636,1547.393092,canonical
2,canonical,9271,A,GO:0044085,cellular component biogenesis,1513,7758,1140,9754,2653,57.02977761,2.18E-34,1.668579983,1221.55,20.37085651,14.30720401,1108.94262,canonical
3,canonical,9271,A,GO:0030030,cell projection organization,835,8436,508,10386,1343,62.17423678,7.58E-35,2.023597263,618.65,17.2352501,12.55276243,986.2028446,canonical
4,canonical,9271,A,GO:0007049,cell cycle,632,8639,407,10487,1039,60.82771896,7.10E-23,1.884908035,481.725,12.67136384,11.85941797,604.8308141,canonical
5,canonical,9271,A,GO:0051276,chromatin organization,682,8589,453,10441,1135,60.08810573,1.06E-22,1.83006169,525.575,18.20522255,8.592314625,434.7917561,canonical
6,phosphorylation,4096,A,GO:0055085,transmembrane transport,368,3728,1038,15031,1406,26.17354196,3.61E-08,1.429400014,285.425,14.32567625,5.764125795,98.78055717,phosph.-gen.
7,phosphorylation,4096,A,GO:0006351,"transcription, DNA-templated",858,3238,2878,13191,3736,22.96573876,1.00E-05,1.214522199,765,19.43958425,4.78405293,55.06970393,phosph.-gen.
8,phosphorylation,4096,A,GO:0006839,mitochondrial transport,92,4004,212,15857,304,30.26315789,3.77E-05,1.718560442,60.6,7.3999307,4.243282981,43.21933945,phosph.-gen.
9,phosphorylation,4096,A,GO:0007267,cell-cell signaling,379,3717,1173,14896,1552,24.42010309,3.99E-05,1.294828562,315.175,16.90681474,3.775104949,38.23574584,phosph.-gen.
10,phosphorylation,4096,A,GO:0005975,cabohydrate metabolic process,119,3977,357,15712,476,25,0.013032291,1.316885644,96.3,8.336512214,2.722961284,11.81853709,phosph.-gen.
11,acetylation,1849,A,GO:0016071,mRNA metabolic process,98,1751,595,17721,693,14.14141414,1.61E-05,1.666849115,66.175,6.192996458,5.138869401,56.72262476,only acetyl.-gen.
12,acetylation,1849,A,GO:0006412,translation,96,1753,575,17741,671,14.30700447,1.17E-05,1.689602317,63.85,8.681102376,3.703446706,42.04368634,only acetyl.-gen.
13,acetylation,1849,A,GO:0009056,catabolic process,136,1713,930,17386,1066,12.75797373,6.56E-05,1.484179845,96.575,11.48887422,3.431580785,33.05449085,only acetyl.-gen.
14,acetylation,1849,A,GO:0044281,small molecule metabolic process,215,1634,1642,16674,1857,11.57781368,0.000238094,1.336120045,170.425,12.51232725,3.562486745,29.72127382,only acetyl.-gen.
15,acetylation,1849,A,GO:0006139,nucleobase containing compound metabolic process,106,1743,784,17532,890,11.91011236,0.005149962,1.359925536,79.55,8.142796093,3.248269968,17.11437431,only acetyl.-gen.
16,no_motif,4949,A,GO:0051604,protein maturation,102,4847,230,14986,332,30.72289157,0.010004406,1.371126793,79.675,7.917483089,2.819709212,12.98399882,no motif
17,no_motif,4949,A,GO:0006091,generation of precursor metabolites and energy,97,4852,269,14947,366,26.50273224,0.39079003,1.110851895,89.65,8.456676925,0.869135721,0.816626775,no motif
18,no_motif,4949,A,GO:0019538,protein metabolic process,367,4582,1098,14118,1465,25.05119454,0.636403487,1.029868473,362.475,12.90594675,0.350613565,0.15845016,no motif
19,no_motif,4949,A,GO:0061738,late endosomal microautophagy,0,4949,3,15213,3,0,1,0,0.95,0.7493587,-1.267750678,0,no motif
20,no_motif,4949,A,GO:0048469,cell maturation,37,4912,120,15096,157,23.56687898,0.852390464,0.947621747,38.225,4.875304067,-0.251266379,-0.040129896,no motif
