"","Entry","Status","Length"
"1","P86434","reviewed",159
"2","Q9UDR5","reviewed",926
"3","Q8NHS2","reviewed",421
"4","Q7Z5M8","reviewed",362
"5","Q7Z5R6","reviewed",666
"6","P31941","reviewed",199
"7","Q9NRW3","reviewed",190
"8","Q6NTF7","reviewed",200
"9","Q8IUA7","reviewed",1624
"10","Q8IZY2","reviewed",2146
"11","Q86UK0","reviewed",2595
"12","Q9NUQ8","reviewed",709
"13","P08910","reviewed",425
"14","Q9NUJ1","reviewed",306
"15","Q96IU4","reviewed",210
"16","O95870","reviewed",558
"17","Q9NYB9","reviewed",513
"18","O00763","reviewed",2458
"19","Q8NC06","reviewed",268
"20","Q5T8D3","reviewed",534
"21","Q96GR2","reviewed",724
"22","Q96AP0","reviewed",544
"23","Q8TDN7","reviewed",264
"24","Q5QJU3","reviewed",275
"25","P22303","reviewed",614
"26","P02708","reviewed",482
"27","P17787","reviewed",502
"28","Q05901","reviewed",458
"29","P30926","reviewed",498
"30","Q8NEB7","reviewed",543
"31","P10323","reviewed",421
"32","Q9NUB1","reviewed",689
"33","P33121","reviewed",698
"34","Q9ULC5","reviewed",683
"35","P68032","reviewed",377
"36","O75078","reviewed",769
"37","Q9Y3Q7","reviewed",739
"38","Q6P093","reviewed",401
"39","Q30134","reviewed",266
"40","Q95IE3","reviewed",266
"41","Q5Y7A7","reviewed",266
"42","P26439","reviewed",372
"43","Q7L8J4","reviewed",393
"44","Q96P26","reviewed",610
"45","P49902","reviewed",561
"46","P21589","reviewed",574
"47","P52209","reviewed",483
"48","Q5SQ80","reviewed",823
"49","P01023","reviewed",1474
"50","A7E2S9","reviewed",258
"51","P22760","reviewed",399
"52","Q9H7C9","reviewed",122
"53","P54646","reviewed",552
"54","Q99424","reviewed",681
"55","O15254","reviewed",700
"56","Q96CM8","reviewed",615
"57","O95573","reviewed",720
"58","Q9H6R3","reviewed",686
"59","P60709","reviewed",375
"60","P63261","reviewed",375
"61","Q8TC94","reviewed",416
"62","P42025","reviewed",376
"63","P31946","reviewed",246
"64","P31947","reviewed",248
"65","P04439","reviewed",365
"66","Q96QU6","reviewed",501
"67","P30447","reviewed",365
"68","P05534","reviewed",365
"69","P16188","reviewed",365
"70","P11171","reviewed",864
"71","Q5T5F5","reviewed",129
"72","Q9NRG9","reviewed",546
"73","Q86V21","reviewed",672
"74","Q9Y478","reviewed",270
"75","Q9UGI9","reviewed",489
"76","Q4LEZ3","reviewed",155
"77","Q9UH17","reviewed",382
"78","Q8IUX4","reviewed",373
"79","Q8N139","reviewed",1617
"80","O75027","reviewed",752
"81","O60706","reviewed",1549
"82","Q8WTS1","reviewed",349
"83","Q6H8Q1","reviewed",611
"84","Q12979","reviewed",859
"85","P16219","reviewed",412
"86","Q96P50","reviewed",834
"87","O00400","reviewed",549
"88","Q9BR61","reviewed",282
"89","Q8N6N7","reviewed",88
"90","Q3MIX3","reviewed",580
"91","Q08462","reviewed",1091
"92","P35612","reviewed",726
"93","P02750","reviewed",347
"94","A8K2U0","reviewed",1454
"95","Q9UNA3","reviewed",340
"96","O95477","reviewed",2261
"97","Q8WWZ7","reviewed",1642
"98","P45844","reviewed",678
"99","Q9UNQ0","reviewed",655
"100","Q9H221","reviewed",673
"101","Q8N2K0","reviewed",398
"102","Q9BUJ0","reviewed",271
"103","O14639","reviewed",778
"104","O94929","reviewed",683
"105","Q9BYF1","reviewed",805
"106","Q16570","reviewed",336
"107","Q9NPB9","reviewed",350
"108","Q8N1Q8","reviewed",247
"109","P21399","reviewed",889
"110","Q99798","reviewed",780
"111","Q86TX2","reviewed",421
"112","Q4G176","reviewed",576
"113","P62258","reviewed",255
"114","P27348","reviewed",245
"115","P18462","reviewed",365
"116","P30512","reviewed",365
"117","Q15173","reviewed",497
"118","Q66LE6","reviewed",453
"119","Q9TQE0","reviewed",266
"120","Q9GIY3","reviewed",266
"121","P78314","reviewed",561
"122","Q13541","reviewed",118
"123","O60516","reviewed",100
"124","Q9P1F3","reviewed",81
"125","Q15027","reviewed",740
"126","Q15057","reviewed",778
"127","Q5FVE4","reviewed",666
"128","P32297","reviewed",505
"129","P11230","reviewed",501
"130","Q07001","reviewed",517
"131","P07510","reviewed",517
"132","Q9UKV3","reviewed",1341
