Entry	Cross-reference (eggNOG)
Q9NYW0	ENOG410IMNH;ENOG410Z4AM;
Q9NYV9	ENOG410J9F7;ENOG4111BEG;
P59538	ENOG410J9F7;ENOG4111BEG;
P59539	
Q96CE8	ENOG410IN9K;ENOG41116VU;
Q96A56	ENOG410IJ9V;ENOG4111S9D;
O75478	KOG0457;COG5114;
Q86TJ2	KOG0457;COG5114;
Q15543	KOG3901;COG5248;
Q15573	ENOG410IEFS;ENOG410YWVA;
Q9H5J8	ENOG410IZI3;ENOG41124VA;
O00268	KOG2341;ENOG410XQS6;
Q9UI15	KOG2046;COG5199;
Q9H2K8	KOG0577;ENOG410Y259;
Q17R31	KOG3020;COG0084;
P10636	KOG2418;ENOG4111J07;
P68366	KOG1376;COG5023;
A6NHL2	KOG1376;COG5023;
Q13509	KOG1375;COG5023;
Q9NVG8	KOG4567;COG5210;
Q9HA65	KOG2197;COG5210;
Q9ULP9	KOG2801;ENOG410ZI2X;
Q2M2D7	KOG1102;COG5210;
O75347	KOG3470;ENOG4111Y9A;
Q99426	KOG3206;ENOG410YKGB;
Q9NVR7	KOG4416;ENOG410XRXF;
Q15814	KOG2512;ENOG410Y28B;
Q86TI0	KOG4436;ENOG410YWJY;
O60343	KOG4436;ENOG410YWJY;
O95759	KOG4347;COG5210;
Q15813	KOG3207;ENOG410YS3M;
Q8TEA7	KOG1093;ENOG410Y9M1;
Q9UPU7	KOG2058;COG5210;
P23258	KOG1374;COG5023;
Q8WWU5	KOG1981;ENOG410ZDEH;
Q8TDR4	ENOG410KII0;ENOG4110Q7Q;
B9ZVM9	ENOG410JCHC;ENOG4111BX3;
P49368	KOG0364;COG0459;
P40227	KOG0359;ENOG410XQ3Q;
O14776	KOG0155;ENOG410XPZW;
Q9HAU6	
Q96MN5	KOG1105;COG1594;
Q96PL2	ENOG410IJKZ;ENOG410XSHJ;
Q8NA31	ENOG410IFKY;ENOG4111AM1;
P54274	ENOG410IIKA;ENOG4111QH9;
O43151	ENOG410IE22;ENOG410XPWW;
Q9BXU0	ENOG410J0FM;ENOG410YWT3;
Q8NA69	ENOG410IZ35;ENOG4111PU5;
A0A1B0GUA7	
P32780	KOG2074;ENOG410XRI6;
Q9NZI6	KOG4091;ENOG410XNZ6;
Q8WVM0	KOG0821;COG0030;
Q9H5Q4	KOG0820;COG0030;
P24752	KOG1390;COG0183;
Q99757	KOG0910;COG0526;
P10599	KOG0907;COG0526;
Q9UPZ6	ENOG410INDB;ENOG410XR0P;
Q9C0I4	KOG3538;ENOG410XR0P;
Q9NS62	ENOG410IG2S;ENOG410Z44J;
Q9BV44	ENOG410IEVP;COG0116;
Q9P016	KOG3383;COG2947;
Q12788	KOG0319;ENOG410XPQD;
Q96SF7	KOG3586;ENOG410Y98J;
O43435	
Q99593	KOG3585;ENOG410XSTS;
Q8WW35	KOG4108;ENOG4111RVM;
P50991	KOG0358;COG0459;
P48643	KOG0357;COG0459;
