Call:,,,,
lm(formula = log(topMotifSum) ~ Length),,,,
Residuals:,,,,
Min,1Q,Median,3Q,Max
-2.7871,-0.3719,-0.2359,0.3581,3.044
Coefficients:,,,,
,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),1.45E-01,8.57E-03,16.91,<2e-16
Length,4.49E-04,8.44E-06,53.14,<2e-16
,,,,
Residual standard error: ,0.5423 on 9267 degrees of freedom,,,
Multiple R-squared:,0.2336,,,
Adjusted R-squared:,0.2335,,,
F-statistic:,2824 on 1 and 9267 DF,p-value: < 2.2e-16,,
,,,,
Individual values:,,,,
Entry,Length,topMotifSum,residual,
A0A087WW87,121,1,-0.199157605,
A0A0B4J2F0,54,1,-0.169102052,
A0PJW6,202,1,-0.235493423,
A0PJX2,215,1,-0.241325098,
A1A4F0,135,1,-0.20543787,
A1A4V9,331,1,-0.293361578,
A1A4Y4,181,1,-0.226073026,
A1L157,253,1,-0.258371531,
A1L4H1,1573,1,-0.850510788,
A2A288,527,2,0.311861895,
A2A3L6,582,1,-0.405957755,
A2RRD8,509,1,-0.37321066,
A3KFT3,312,1,-0.284838361,
A4D1E9,387,1,-0.318482637,
A4D1S5,217,1,-0.242222278,
A5PLN9,417,1,-0.331940348,
A6NCF5,533,1,-0.383976828,
A6NCF6,341,1,-0.297847481,
A6NCL7,494,1,-0.366481804,
A6NCW3,169,1,-0.220689942,
A6ND48,311,1,-0.284389771,
A6NDE4,496,1,-0.367378985,
A6NEK1,342,1,-0.298296072,
A6NEL3,165,1,-0.21889558,
A6NEM1,432,9,1.858555374,
A6NEQ0,496,1,-0.367378985,
A6NEY3,463,16,2.420013219,
A6NF36,153,1,-0.213512496,
A6NF89,314,1,-0.285735542,
A6NFA1,517,1,-0.376799382,
A6NGD5,496,1,-0.367378985,
A6NGS2,130,1,-0.203194918,
A6NGY3,159,1,-0.216204038,
A6NHS1,94,1,-0.187045666,
A6NI47,508,1,-0.372762069,
A6NI86,522,13,2.185907023,
A6NIZ1,184,1,-0.227418797,
A6NJU9,1138,1,-0.655373987,
A6NJW4,275,2,0.424906662,
A6NK06,481,2,0.332497051,
A6NKD2,308,1,-0.283044,
A6NLE4,172,1,-0.222035713,
A6NM45,220,1,-0.24356805,
A6NMZ2,147,1,-0.210820954,
A6NNC1,897,2,0.145883467,
A6NNE9,402,2,0.367935688,
A6NNL0,878,4,0.847553864,
A6NNW6,628,1,-0.426592911,
A7MD48,611,1,-0.418966875,
A8MRT5,1133,1,-0.653131035,
